date,account_id,campaign_id,adset_id,ad_id,headline1,headline2,headline3,description,final_url,path1,path2,,,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,XO++0deJgsVjEYvgp3kmqg==,GyklXyqLs+X58idmnipQLA==,nooZCXrrniLjba8brIDdvA==,L2xLfMOQtVfGLNscF2lwlw==,Qw/khFX8t6maQg2CSJgyog==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,MoxRtRI7drqhD3dHXHxGDA==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,dn84s7odRbP1BF4bn96sbQ==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,fK2TcdDvP9KaOrlB3WtGOQ==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,boGxXJbs8ATuANDZafecjA==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,8029qFKKNE0U6woeCgajig==,GyklXyfkdfkdedmnipQLA==,q9wKnBCOfg2UHGZSeDSwQw==,z5B9C8/Z5VLRNLQMKZB02g==,vhHxrpeMtQlY4ydg7EHxFQ==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-03,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,VTsjn6S0H+TyElwtpL4mpQ==,HQVHkCT1YtqrektOPewIpQ==,SowCbCM9exuZ+X63iu8LjQ==,Mx8qJTEumedTsWDPtslNUg==,SnxP7UR9LpnuNQsc4hjQWQ==,KZdb5r04K53Agf679a92Hg==,https://www.walmart.com/highlight/fire-24903240/,20eeOER9H5uao3snTZcYQg==,,,,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,hciXX5R5KeNA8r24eZze1A==,GyklXyqLs+X58idmnipQLA==,umSH0Kgpkfkesfme9WRYg==,L2xLfMOQtVfGLNscF2lwlw==,boGxXJbs8ATuANDZafecjA==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-03,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,VTsjn6S0H+TyElwtpL4mpQ==,jIs3JOubI4GY5TAFE/iqmg==,SowCbCM9exuZ+X63iu8LjQ==,Mx8qJTEumedTsWDPtslNUg==,SnxP7UR9LpnuNQsc4hjQWQ==,ahHZEVRZF0E7ju245uVAfA==,https://www.walmart.com/highlight/fire-24903240/,20eeOER9H5uao3snTZcYQg==,,,,,,,,,,,,,,,
2021-10-03,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,apL4KKdaexR4N+/her73pg==,sn6vGvGsZHTo9GDs/2JAZg==,UPJnHCZFxbNIdWJJhQsaow==,PedHCrxoloJCT27vOsKTtw==,SnxP7UR9LpnuNQsc4hjQWQ==,ahHZEVRZF0E7ju245uVAfA==,https://www.walmart.com/highlight/fire-24903240/,u7bSLghhEOsb5t992QsnTQ==,,,,,,,,,,,,,,,
2021-10-03,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,apL4KKdaexR4N+/her73pg==,VOrY2Y6ZrWgLe2fQ2ngU7Q==,UPJnHCZFxbNIdWJJhQsaow==,PedHCrxoloJCT27vOsKTtw==,SnxP7UR9LpnuNQsc4hjQWQ==,JxJQmJrlhsZqjVAgcvqGyw==,https://www.walmart.com/highlight/fire-24903240/,u7bSLghhEOsb5t992QsnTQ==,,,,,,,,,,,,,,,
2021-10-03,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,34yhys44D78+unwde0GDpQ==,QHlgnt4yUYebup82hgSBOQ==,acfgTJol4UMLE7ZHv0QW/w==,bZ+rrt6wXYg/mMlPRefMYQ==,v1uajNhKz8ZqV7ikkD+zUw==,DtL3SHQTx86ZJpBsoJpyug==,https://www.walmart.com/highlight/expedition-24em2lkrmo/,AK/V/FgjmBOq14Kaq+dbBA==,,,,,,,,,,,,,,,
2021-10-03,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,HnkqcqBSCSIuRuNgFQ+c3A==,eT0XqEP6O+VscwdAPJDWCg==,acfgTJol4UMLE7ZHv0QW/w==,hUiItm0I9kR01VZNoN32kg==,v1uajNhKz8ZqV7ikkD+zUw==,DtL3SHQTx86ZJpBsoJpyug==,https://www.walmart.com/highlight/expedition-24em2lkrmo/,AK/V/FgjmBOq14Kaq+dbBA==,,,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,8029qFKKNE0U6woeCgajig==,GyklXyqLs+X58idmnipQLA==,q9wKnBCOfg2UHGZSeDSwQw==,z5B9C8/Z5VLRNLQMKZB02g==,vhHxrpeMtQlY4ydg7EHxFQ==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,hciXX5R5KeNA8r24eZze1A==,GyklXyqLs+X58idmnipQLA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,boGxXJbs8ATuANDZafecjA==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,sXUrZmYCIh0n1jZ0pvBpPQ==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,z5B9C8/Z5VLRNLQMKZB02g==,Qw/khFX8t6maQg2CSJgyog==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,MoxRtRI7drqhD3dHXHxGDA==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,dn84s7odRbP1BF4bn96sbQ==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-01,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,fK2TcdDvP9KaOrlB3WtGOQ==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,boGxXJbs8ATuANDZafecjA==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-01,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,VTsjn6S0H+TyElwtpL4mpQ==,HQVHkCT1YtqrektOPewIpQ==,SowCbCM9exuZ+X63iu8LjQ==,Mx8qJTEumedTsWDPtslNUg==,SnxP7UR9LpnuNQsc4hjQWQ==,KZdb5r04K53Agf679a92Hg==,https://www.walmart.com/highlight/fire-24903240/,20eeOER9H5uao3snTZcYQg==,,,,,,,,,,,,,,,
2021-10-01,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,VTsjn6S0H+TyElwtpL4mpQ==,jIs3JOubI4GY5TAFE/iqmg==,SowCbCM9exuZ+X63iu8LjQ==,Mx8qJTEumedTsWDPtslNUg==,SnxP7UR9LpnuNQsc4hjQWQ==,ahHZEVRZF0E7ju245uVAfA==,https://www.walmart.com/highlight/fire-24903240/,20eeOER9H5uao3snTZcYQg==,,,,,,,,,,,,,,,
2021-10-01,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,apL4KKdaexR4N+/her73pg==,sn6vGvGsZHTo9GDs/2JAZg==,UPJnHCZFxbNIdWJJhQsaow==,PedHCrxoloJCT27vOsKTtw==,SnxP7UR9LpnuNQsc4hjQWQ==,ahHZEVRZF0E7ju245uVAfA==,https://www.walmart.com/highlight/fire-24903240/,u7bSLghhEOsb5t992QsnTQ==,,,,,,,,,,,,,,,
2021-10-01,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,apL4KKdaexR4N+/her73pg==,VOrY2Y6ZrWgLe2fQ2ngU7Q==,UPJnHCZFxbNIdWJJhQsaow==,PedHCrxoloJCT27vOsKTtw==,SnxP7UR9LpnuNQsc4hjQWQ==,JxJQmJrlhsZqjVAgcvqGyw==,https://www.walmart.com/highlight/fire-24903240/,u7bSLghhEOsb5t992QsnTQ==,,,,,,,,,,,,,,,
2021-10-01,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,34yhys44D78+unwde0GDpQ==,QHlgnt4yUYebup82hgSBOQ==,acfgTJol4UMLE7ZHv0QW/w==,bZ+rrt6wXYg/mMlPRefMYQ==,v1uajNhKz8ZqV7ikkD+zUw==,DtL3SHQTx86ZJpBsoJpyug==,https://www.walmart.com/highlight/expedition-24em2lkrmo/,AK/V/FgjmBOq14Kaq+dbBA==,,,,,,,,,,,,,,,
2021-10-01,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,HnkqcqBSCSIuRuNgFQ+c3A==,eT0XqEP6O+VscwdAPJDWCg==,acfgTJol4UMLE7ZHv0QW/w==,hUiItm0I9kR01VZNoN32kg==,v1uajNhKz8ZqV7ikkD+zUw==,DtL3SHQTx86ZJpBsoJpyug==,https://www.walmart.com/highlight/expedition-24em2lkrmo/,AK/V/FgjmBOq14Kaq+dbBA==,,,,,,,,,,,,,,,
2021-10-02,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,XO++0deJgsVjEYvgp3kmqg==,GyklXyqLs+X58idmnipQLA==,nooZCXrrniLjba8brIDdvA==,L2xLfMOQtVfGLNscF2lwlw==,Qw/khFX8t6maQg2CSJgyog==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-02,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,8029qFKKNE0U6woeCgajig==,GyklXyqLs+X58idmnipQLA==,q9wKnBCOfg2UHGZSeDSwQw==,z5B9C8/Z5VLRNLQMKZB02g==,vhHxrpeMtQlY4ydg7EHxFQ==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-02,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,WdqrRfjE6OxPxhj8FaTOVw==,hciXX5R5KeNA8r24eZze1A==,GyklXyqLs+X58idmnipQLA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,boGxXJbs8ATuANDZafecjA==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-02,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,sXUrZmYCIh0n1jZ0pvBpPQ==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,z5B9C8/Z5VLRNLQMKZB02g==,Qw/khFX8t6maQg2CSJgyog==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-02,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,ZL0YVbSXYLURSDDM6ryBrQ==,MoxRtRI7drqhD3dHXHxGDA==,QdJfvxSJeSJoENaWwiOffA==,umSH0KgpE5d1hk7z89WRYg==,L2xLfMOQtVfGLNscF2lwlw==,dn84s7odRbP1BF4bn96sbQ==,https://www.walmart.com/product/strangestory/?_bctx=CAYQo_AD&asb=F%252FbSShNEC3crWU19goaHGoP%252BcMYjDDKauI9o0TgdYYc%253D&asb2=Oaexb6LUBCoEwwCZjWwjcXZ1-EV2vvIHPW8XFIEv-SM,zNwbVNv+6Wzm8qpln071bQ==,,,,,,,,,,,,,,,
2021-10-02,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,VTsjn6S0H+TyElwtpL4mpQ==,HQVHkCT1YtqrektOPewIpQ==,SowCbCM9exuZ+X63iu8LjQ==,Mx8qJTEumedTsWDPtslNUg==,SnxP7UR9LpnuNQsc4hjQWQ==,KZdb5r04K53Agf679a92Hg==,https://www.walmart.com/highlight/fire-24903240/,20eeOER9H5uao3snTZcYQg==,,,,,,,,,,,,,,,
2021-10-02,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,VTsjn6S0H+TyElwtpL4mpQ==,jIs3JOubI4GY5TAFE/iqmg==,SowCbCM9exuZ+X63iu8LjQ==,Mx8qJTEumedTsWDPtslNUg==,SnxP7UR9LpnuNQsc4hjQWQ==,ahHZEVRZF0E7ju245uVAfA==,https://www.walmart.com/highlight/fire-24903240/,20eeOER9H5uao3snTZcYQg==,,,,,,,,,,,,,,,
2021-10-02,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,apL4KKdaexR4N+/her73pg==,sn6vGvGsZHTo9GDs/2JAZg==,UPJnHCZFxbNIdWJJhQsaow==,PedHCrxoloJCT27vOsKTtw==,SnxP7UR9LpnuNQsc4hjQWQ==,ahHZEVRZF0E7ju245uVAfA==,https://www.walmart.com/highlight/fire-24903240/,u7bSLghhEOsb5t992QsnTQ==,,,,,,,,,,,,,,,
2021-10-02,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,apL4KKdaexR4N+/her73pg==,VOrY2Y6ZrWgLe2fQ2ngU7Q==,UPJnHCZFxbNIdWJJhQsaow==,PedHCrxoloJCT27vOsKTtw==,SnxP7UR9LpnuNQsc4hjQWQ==,JxJQmJrlhsZqjVAgcvqGyw==,https://www.walmart.com/highlight/fire-24903240/,u7bSLghhEOsb5t992QsnTQ==,,,,,,,,,,,,,,,
2021-10-02,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,34yhys44D78+unwde0GDpQ==,QHlgnt4yUYebup82hgSBOQ==,acfgTJol4UMLE7ZHv0QW/w==,bZ+rrt6wXYg/mMlPRefMYQ==,v1uajNhKz8ZqV7ikkD+zUw==,DtL3SHQTx86ZJpBsoJpyug==,https://www.walmart.com/highlight/expedition-24em2lkrmo/,AK/V/FgjmBOq14Kaq+dbBA==,,,,,,,,,,,,,,,
2021-10-02,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,HnkqcqBSCSIuRuNgFQ+c3A==,eT0XqEP6O+VscwdAPJDWCg==,acfgTJol4UMLE7ZHv0QW/w==,hUiItm0I9kR01VZNoN32kg==,v1uajNhKz8ZqV7ikkD+zUw==,DtL3SHQTx86ZJpBsoJpyug==,https://www.walmart.com/highlight/expedition-24em2lkrmo/,AK/V/FgjmBOq14Kaq+dbBA==,,,,,,,,,,,,,,,
